[2025-07-08 20:30:00.693505] TCP | 192.168.200.118:61403 -> 8.8.8.8:53 | Flags: S | TTL: 128 | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:00.731203] TCP | 8.8.8.8:53 -> 192.168.200.118:61403 | Flags: SA | TTL: 106 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.734027] TCP | 192.168.200.118:61403 -> 8.8.8.8:53 | Flags: A | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:00.735011] TCP | 192.168.200.118:61403 -> 8.8.8.8:53 | Flags: FA | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:00.768802] TCP | 8.8.8.8:53 -> 192.168.200.118:61403 | Flags: FA | TTL: 106 | Window: 1054 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.771810] TCP | 192.168.200.118:61403 -> 8.8.8.8:53 | Flags: A | TTL: 128 | Window: 255 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:00.904994] TCP | N/A:443 -> N/A:61397 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.907922] TCP | N/A:443 -> N/A:61397 | Flags: PA | TTL: N/A | Window: 16388 | Payload: 103 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.910854] TCP | N/A:443 -> N/A:61398 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.913496] TCP | N/A:443 -> N/A:61397 | Flags: FPA | TTL: N/A | Window: 16388 | Payload: 465 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:00.915537] TCP | N/A:61397 -> N/A:443 | Flags: A | TTL: N/A | Window: 253 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:00.918479] TCP | N/A:61397 -> N/A:443 | Flags: PA | TTL: N/A | Window: 253 | Payload: 24 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
